City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.76,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Hermanus,ZA,84.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
10,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
21,Terenos,BR,76.71,clear sky,-20.4422,-54.8603,Rancho Pitzer
26,Kapaa,US,78.78,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Tabou,CI,76.8,clear sky,4.423,-7.3528,hotêl doufoulougou
33,Tondano,ID,80.69,broken clouds,1.3038,124.9112,Villa Bella
36,Hobart,AU,87.26,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
37,Sinnamary,GF,76.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
44,Atuona,PF,78.82,few clouds,-9.8,-139.0333,Villa Enata
46,Faanui,PF,81.23,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Lokoja,NG,75.27,clear sky,7.8024,6.743,Hotel Charvid
57,Saint-Pierre,RE,80.24,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
60,Amahai,ID,86.97,few clouds,-3.3333,128.9167,HOTEL ISABELA
71,Bonthe,SL,75.94,clear sky,7.5264,-12.505,Bonthe Holiday Village
72,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
73,Esperance,AU,82.24,few clouds,-33.8667,121.9,Hospitality Esperance
74,Hilo,US,77.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,Bubaque,GW,78.3,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
80,Oistins,BB,75.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
82,Hithadhoo,MV,82.33,broken clouds,-0.6,73.0833,Scoop Guest House
84,Tevaitoa,PF,80.92,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
87,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
88,Sibolga,ID,83.98,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
100,Anito,PH,82.06,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
103,Inhambane,MZ,75.52,light rain,-23.865,35.3833,Oceano
104,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
107,New Norfolk,AU,86.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
110,Mogadishu,SO,75.76,overcast clouds,2.0371,45.3438,Hotel Juba
120,Sambava,MG,75.22,overcast clouds,-14.2667,50.1667,Melrose
126,Puerto Escondido,MX,76.46,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
130,Butaritari,KI,82.56,broken clouds,3.0707,172.7902,Isles Sunset Lodge
131,Bengkulu,ID,83.28,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
142,Rio Grande,BR,76.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
145,Saint-Joseph,RE,79.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
148,Bredasdorp,ZA,79.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
150,Saint-Philippe,RE,80.15,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
151,Aborlan,PH,84.13,scattered clouds,9.4352,118.5492,Kevina Transient House
163,Tulagi,SB,84.56,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
167,Moree,AU,86.02,scattered clouds,-29.4667,149.85,Molika Springs Motel
170,Cape Town,ZA,79.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
