City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,59.81,61,45,9.48,scattered clouds
1,Mataura,NZ,-46.1927,168.8643,59.49,40,11,7.7,few clouds
2,Rikitea,PF,-23.1203,-134.9692,78.76,71,100,10.11,overcast clouds
3,Hermanus,ZA,-34.4187,19.2345,84.9,62,49,6.13,scattered clouds
4,Jamestown,US,42.097,-79.2353,22.71,63,100,11.5,overcast clouds
5,Belyy Yar,RU,53.6039,91.3903,-9.51,91,75,0.0,mist
6,Carnarvon,AU,-24.8667,113.6333,109.47,5,4,17.27,clear sky
7,Georgetown,MY,5.4112,100.3354,82.33,81,20,3.44,few clouds
8,Port Hardy,CA,50.6996,-127.4199,39.76,100,75,3.44,broken clouds
9,Vanavara,RU,60.34,102.2797,-12.82,100,100,1.59,overcast clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,89,83,17.2,broken clouds
11,Vostok,RU,46.4856,135.8833,5.22,86,20,3.13,few clouds
12,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,73,95,5.5,overcast clouds
13,Longyearbyen,SJ,78.2186,15.6401,30.04,59,40,3.44,scattered clouds
14,Pevek,RU,69.7008,170.3133,-27.09,93,100,9.86,overcast clouds
15,Grootfontein,Namibia,-19.5667,18.1167,62.17,63,92,3.44,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,46.06,93,75,16.11,broken clouds
17,Tuatapere,NZ,-46.1333,167.6833,59.83,59,12,8.97,few clouds
18,Albany,US,42.6001,-73.9662,19.31,71,96,1.01,overcast clouds
19,Port Alfred,ZA,-33.5906,26.891,71.17,72,0,26.51,clear sky
20,Ribeira Grande,PT,38.5167,-28.7,59.18,60,63,9.98,broken clouds
21,Terenos,BR,-20.4422,-54.8603,76.71,88,0,3.44,clear sky
22,Lima Duarte,BR,-21.8425,-43.7931,60.28,96,26,1.86,scattered clouds
23,Kharitonovo,RU,61.4009,47.4978,1.38,99,88,2.39,overcast clouds
24,College,US,64.8569,-147.8028,8.92,85,0,0.0,clear sky
25,Nanortalik,GL,60.1432,-45.2371,12.99,66,84,7.92,broken clouds
26,Kapaa,US,22.0752,-159.319,78.78,82,100,1.01,moderate rain
27,Najran,SA,17.4924,44.1277,45.25,67,72,1.12,broken clouds
28,Tabou,CI,4.423,-7.3528,76.8,83,4,6.15,clear sky
29,Busselton,AU,-33.65,115.3333,95.04,36,4,8.1,clear sky
